object_kind,schema_name,object_name,parent_object,column_name,normalized_signature,source_database,dependency_kind
"COLUMN","dbo","_TCAUser.UserName","_TCAUser","UserName","nvarchar(200)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.UserSecu","_TCAUser","UserSecu","int|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.UserSeq","_TCAUser","UserSeq","int|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCAUser.UserType","_TCAUser","UserType","int|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCOMCalendarHoliday.CompanySeq","_TCOMCalendarHoliday","CompanySeq","int|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCOMCalendarHoliday.CountrySeq","_TCOMCalendarHoliday","CountrySeq","int|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCOMCalendarHoliday.HolidayName","_TCOMCalendarHoliday","HolidayName","nvarchar(100)|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCOMCalendarHoliday.IsCommon","_TCOMCalendarHoliday","IsCommon","int|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCOMCalendarHoliday.LastDateTime","_TCOMCalendarHoliday","LastDateTime","datetime|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCOMCalendarHoliday.LastUserSeq","_TCOMCalendarHoliday","LastUserSeq","int|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCOMCalendarHoliday.Remark","_TCOMCalendarHoliday","Remark","nvarchar(100)|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCOMCalendarHoliday.SMHolidayType","_TCOMCalendarHoliday","SMHolidayType","int|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TCOMCalendarHoliday.Solar","_TCOMCalendarHoliday","Solar","int|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.BirthDate","_TDAEmpIn","BirthDate","nchar(16)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.Cellphone","_TDAEmpIn","Cellphone","nvarchar(40)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.CompanySeq","_TDAEmpIn","CompanySeq","int|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.Email","_TDAEmpIn","Email","nvarchar(100)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.EmpID","_TDAEmpIn","EmpID","nvarchar(40)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.EmpSeq","_TDAEmpIn","EmpSeq","int|nullable=0","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.EntDate","_TDAEmpIn","EntDate","nchar(16)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.Extension","_TDAEmpIn","Extension","nvarchar(40)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.EyeLt","_TDAEmpIn","EyeLt","decimal(19,5)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.EyeRt","_TDAEmpIn","EyeRt","decimal(19,5)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.HandiAppdate","_TDAEmpIn","HandiAppdate","nchar(16)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.HandiEndDate","_TDAEmpIn","HandiEndDate","nchar(16)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.Height","_TDAEmpIn","Height","decimal(19,5)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.Hobby","_TDAEmpIn","Hobby","nvarchar(400)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.IsDelete","_TDAEmpIn","IsDelete","nchar(2)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.IsDisabled","_TDAEmpIn","IsDisabled","nchar(2)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.IsDivision","_TDAEmpIn","IsDivision","nchar(2)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.IsForeigner","_TDAEmpIn","IsForeigner","nchar(2)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.IsJobEmp","_TDAEmpIn","IsJobEmp","nchar(2)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.IsMarriage","_TDAEmpIn","IsMarriage","nchar(2)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
"COLUMN","dbo","_TDAEmpIn.IsVeteranEmp","_TDAEmpIn","IsVeteranEmp","nchar(2)|nullable=1","MSSQL:CrewCloud_Company_Bootstrap","TABLE"
