object_kind,schema_name,object_name,parent_object,column_name,normalized_signature,source_database,dependency_kind
"COLUMN","public","board_config.userno","board_config","userno","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.applyto","board_contents","applyto","character varying(1000)|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.badno","board_contents","badno","character varying(1000)|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.boardno","board_contents","boardno","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.businessdate","board_contents","businessdate","timestamp without time zone|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.constructionname","board_contents","constructionname","character varying(1000)|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.content","board_contents","content","text|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.contentno","board_contents","contentno","bigint|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.dateview","board_contents","dateview","timestamp without time zone|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.depth","board_contents","depth","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.designno","board_contents","designno","character varying(1000)|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.eappno","board_contents","eappno","integer|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.enabled","board_contents","enabled","boolean|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.enddate","board_contents","enddate","timestamp without time zone|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.errortype","board_contents","errortype","character varying(1000)|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.filecount","board_contents","filecount","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.generation","board_contents","generation","character varying(1000)|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.groupno","board_contents","groupno","bigint|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.headno","board_contents","headno","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.important","board_contents","important","boolean|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.inspector","board_contents","inspector","character varying(1000)|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.isalarm","board_contents","isalarm","boolean|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.isfile","board_contents","isfile","boolean|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.islock","board_contents","islock","boolean|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.isnotice","board_contents","isnotice","boolean|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.isrecommendpublic","board_contents","isrecommendpublic","boolean|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.isshareall","board_contents","isshareall","boolean|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.levelrand","board_contents","levelrand","character varying(500)|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.locktime","board_contents","locktime","timestamp without time zone|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.lockuserno","board_contents","lockuserno","integer|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.mailrecipientname","board_contents","mailrecipientname","character varying|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.mailrecipientno","board_contents","mailrecipientno","character varying|nullable=1","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.moddate","board_contents","moddate","timestamp without time zone|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
"COLUMN","public","board_contents.moddepartname","board_contents","moddepartname","character varying(100)|nullable=0","PostgreSQL:crewcloud_company_bootstrap_test","TABLE"
